Subject,Educ,Income2005
2,12,"$5,500.00 "
7,12,"$19,000.00 "
29,12,"$85,000.00 "
37,12,"$37,000.00 "
38,12,"$70,000.00 "
39,12,"$67,000.00 "
42,12,"$45,000.00 "
44,12,"$7,200.00 "
47,12,"$66,309.00 "
57,12,"$12,000.00 "
87,12,"$17,000.00 "
105,12,"$40,000.00 "
133,12,"$52,000.00 "
145,12,"$10,000.00 "
146,12,"$50,000.00 "
148,12,"$21,800.00 "
149,12,"$95,000.00 "
152,12,"$85,000.00 "
165,12,"$50,000.00 "
179,12,"$29,000.00 "
185,12,"$34,000.00 "
197,12,"$17,000.00 "
199,12,"$38,000.00 "
200,12,"$35,000.00 "
207,12,"$32,000.00 "
233,12,"$39,000.00 "
234,12,"$140,000.00 "
240,12,"$38,000.00 "
242,12,"$75,000.00 "
243,12,"$94,600.00 "
244,12,"$5,000.00 "
257,12,"$22,000.00 "
259,12,"$14,000.00 "
279,12,"$64,500.00 "
283,12,"$53,000.00 "
284,12,"$90,000.00 "
294,12,"$12,000.00 "
310,12,"$70,000.00 "
323,12,"$80,000.00 "
348,12,"$164,307.00 "
351,12,"$39,000.00 "
354,12,"$9,600.00 "
362,12,"$48,000.00 "
373,12,"$9,000.00 "
375,12,"$17,500.00 "
377,12,"$10,000.00 "
381,12,"$105,000.00 "
385,12,"$41,500.00 "
386,12,"$43,000.00 "
391,12,"$35,000.00 "
392,12,"$60,000.00 "
401,12,"$11,500.00 "
408,12,"$68,000.00 "
410,12,"$31,085.00 "
411,12,"$16,000.00 "
426,12,"$82,000.00 "
433,12,"$21,528.00 "
434,12,"$59,000.00 "
437,12,"$22,000.00 "
446,12,"$32,000.00 "
449,12,"$14,000.00 "
465,12,"$12,000.00 "
470,12,"$46,000.00 "
484,12,"$30,000.00 "
485,12,"$12,000.00 "
486,12,"$196,424.00 "
491,12,"$20,000.00 "
502,12,"$90,000.00 "
503,12,"$23,000.00 "
505,12,"$28,000.00 "
535,12,"$20,000.00 "
540,12,"$60,000.00 "
543,12,"$98,000.00 "
548,12,"$15,000.00 "
550,12,"$22,000.00 "
594,12,"$80,000.00 "
613,12,"$95,000.00 "
616,12,"$25,000.00 "
632,12,"$4,000.00 "
636,12,"$40,000.00 "
639,12,"$35,000.00 "
640,12,"$42,000.00 "
646,12,"$12,500.00 "
647,12,"$61,000.00 "
662,12,"$22,000.00 "
669,12,"$29,000.00 "
674,12,"$50,000.00 "
679,12,"$20,000.00 "
681,12,"$5,000.00 "
684,12,"$72,000.00 "
697,12,"$50,000.00 "
703,12,"$3,000.00 "
709,12,"$41,167.00 "
711,12,"$40,000.00 "
713,12,"$11,000.00 "
717,12,"$40,000.00 "
719,12,"$48,000.00 "
720,12,"$35,000.00 "
723,12,"$25,000.00 "
728,12,"$30,000.00 "
731,12,"$40,000.00 "
732,12,"$35,000.00 "
745,12,"$41,000.00 "
747,12,"$50,300.00 "
755,12,"$37,000.00 "
756,12,"$26,000.00 "
758,12,"$20,000.00 "
762,12,"$12,000.00 "
763,12,"$23,000.00 "
769,12,"$3,000.00 "
772,12,"$74,000.00 "
789,12,"$15,000.00 "
797,12,"$72,000.00 "
799,12,"$53,000.00 "
802,12,"$30,000.00 "
806,12,"$35,000.00 "
814,12,"$16,000.00 "
815,12,"$23,400.00 "
832,12,"$20,000.00 "
843,12,"$3,000.00 "
849,12,"$20,000.00 "
851,12,"$48,000.00 "
854,12,"$22,000.00 "
859,12,"$46,000.00 "
860,12,"$37,500.00 "
861,12,"$29,000.00 "
863,12,"$125,000.00 "
866,12,"$36,000.00 "
875,12,"$40,000.00 "
878,12,"$50,000.00 "
888,12,"$50,000.00 "
891,12,"$36,000.00 "
914,12,"$71,500.00 "
922,12,"$90,000.00 "
929,12,"$42,000.00 "
932,12,"$30,000.00 "
935,12,"$9,800.00 "
938,12,"$38,500.00 "
942,12,"$43,000.00 "
949,12,"$70,000.00 "
950,12,"$30,000.00 "
951,12,"$72,000.00 "
952,12,"$23,600.00 "
955,12,"$40,000.00 "
958,12,"$35,000.00 "
963,12,"$65,000.00 "
964,12,"$48,000.00 "
966,12,"$44,000.00 "
967,12,"$56,000.00 "
968,12,"$65,000.00 "
969,12,"$31,000.00 "
970,12,"$110,000.00 "
971,12,"$3,000.00 "
972,12,"$38,000.00 "
973,12,"$42,000.00 "
990,12,"$39,000.00 "
996,12,"$60,000.00 "
997,12,"$46,000.00 "
